Symbol,Company Name,LTP,% Change,Open,High,Low,Quantity,Trend
SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,292.0,-1.02,294.0,289.0,289.1,12652,decrease
SJLIC,SuryaJyoti Life Insurance Company Limited,481.0,0.21,486.0,472.0,479.0,211434,increase
SKBBL,Sana Kisan Bikas Laghubitta Bittiya sanstha Limited.,881.0,0.0,890.0,879.0,890.0,17765,no-change
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,926.0,-1.7,960.6,911.4,960.6,8098,decrease
SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,1339.0,0.31,1350.0,1323.0,1350.0,2064,increase
SLCF,Sanima Large Cap Fund,9.15,-1.08,9.18,9.15,9.15,9660,decrease
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,857.0,0.94,860.9,835.0,849.1,24711,increase
SMB,Support Laghubitta Bittiya Sanstha Limited,2214.0,0.78,2240.0,2180.1,2217.9,1134,increase
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Ltd,1694.0,0.53,1694.0,1623.1,1684.0,2858,increase
SMH,Super Mai Hydropower Limited,783.4,-2.2,815.0,782.1,815.0,486,decrease
SMHL,Super Madi Hydropower Limited,776.0,-0.12,787.0,765.6,775.0,16606,decrease
SMJC,Sagarmatha Jalabidhyut Company Limited,529.2,2.04,529.2,514.0,514.0,23886,increase
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,923.0,0.44,934.8,900.7,900.7,13661,increase
SNLI,Sun Nepal Life Insurance Company Limited,514.8,0.94,515.9,506.0,510.0,95684,increase
SONA,Sonapur Minerals and Oil Limited,437.0,-0.68,444.0,435.0,438.0,24816,decrease
SPC,Samling Power Company Limited,489.0,-1.01,497.9,488.0,497.9,8983,decrease
SPDL,Synergy Power Development Ltd.,429.0,0.94,433.5,417.0,433.5,319081,increase
SPHL,Sayapatri Hydropower Limited,540.0,-2.33,552.0,540.0,545.1,10834,decrease
SPIL,Siddhartha Premier Insurance Limited,729.6,-1.79,737.0,725.0,728.2,1741,decrease
SPL,Shuvam Power Company Limited,923.1,-0.21,961.0,902.0,907.5,865,decrease
SRLI,Sanima Reliance Life Insurance Limited,418.1,0.53,422.0,408.2,408.2,105635,increase
SSHL,Shiva Shree Hydropower Limited,167.8,0.42,170.0,167.0,170.0,101498,increase
STC,Salt Trading Corporation,5400.0,0.72,5420.0,5346.0,5419.0,586,increase
SWASTIK,Swastik Laghubitta Bittiya Sanstha Limited,815.9,9.99,815.9,727.6,727.6,80,increase
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,815.0,-0.01,831.0,812.0,831.0,12032,decrease
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited ,706.9,0.28,709.8,694.0,704.9,21223,increase
SWMFPO,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter,382.0,0.0,382.0,382.0,382.0,10000,no-change
TAMOR,Sanima Middle Tamor Hydropower Limited,486.8,-0.04,487.0,479.0,480.0,15223,decrease
TPC,Terhathum Power Company Limited,355.0,-0.28,362.0,350.1,356.3,121894,decrease
TRH,Taragaon Regency Hotel Limited,727.5,0.62,734.0,715.0,715.1,12697,increase
TSHL,Three Star Hydropower Limited,699.9,-1.27,706.0,695.3,696.0,4346,decrease
TTL,Trade Tower Limited,773.0,1.98,776.9,757.0,758.0,28745,increase
TVCL,Trishuli Jal Vidhyut Company Limited,415.6,-0.69,419.0,411.3,418.5,6372,decrease
UAIL,United Ajod Insurance Limited ,468.0,0.43,472.9,462.2,472.9,13451,increase
UHEWA,Upper Hewakhola Hydropower Company Limited,612.0,-1.1,622.9,610.1,620.0,22462,decrease
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,3850.0,-1.15,4125.0,3740.8,3817.1,918,decrease
ULHC,Upper Lohore Khola Hydropower Company Limited,460.0,-1.92,475.0,458.0,465.1,18830,decrease
UMHL,United Modi Hydropower Ltd.,564.7,4.13,566.9,535.1,540.0,263596,increase
UMRH,United IDI Mardi RB Hydropower Limited.,583.5,2.37,586.0,570.0,570.0,35910,increase
UNHPL,Union Hydropower Limited,504.6,-0.47,513.8,497.0,497.0,173118,decrease
UNL,Unilever Nepal Limited,46700.0,-1.37,46900.0,46600.0,46900.0,45,decrease
UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,2012.0,0.1,2025.0,1995.5,2000.0,1488,increase
UPCL,UNIVERSAL POWER COMPANY LTD,376.0,-1.54,386.0,374.6,378.9,105912,decrease
UPPER,Upper Tamakoshi Hydropower Ltd,183.0,0.55,183.0,180.0,182.0,58588,increase
USHEC,Upper Solu Hydro Electric Company Limited ,487.0,0.21,489.9,482.0,482.0,26019,increase
USHL,Upper Syange  Hydropower Limited,689.0,0.15,692.0,681.5,688.0,3864,increase
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,1694.1,-2.64,1774.0,1666.0,1774.0,23351,decrease
VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,814.8,1.72,816.9,803.1,815.0,2058,increase
VLUCL,Vision Lumbini Urja Company Limited,562.9,-0.2,562.9,555.0,555.0,4292,decrease
WNLB,WEAN Nepal Laghubitta Bittiya Sanstha Limited,1998.5,-0.57,2015.0,1980.0,1982.0,618,decrease
